Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00088514,0.09157,-0.015791,0,0,0,5.3249,0.021938,-4.0175E-06,-1.4798E-06,0.023203,-8.0652E-06,0.014905,0,0,0,0,0,0,package://4wheel_ball/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://4wheel_ball/meshes/base_link.STL,,Body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_front_suspension,0.072447,-0.0024231,-0.066755,0,0,0,0.26437,3.2075E-05,1.4412E-07,6.3085E-08,6.227E-05,-2.0189E-07,6.2852E-05,0,0,0,0,0,0,package://4wheel_ball/meshes/right_front_suspension.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://4wheel_ball/meshes/right_front_suspension.STL,,Suspensionsystem2-1,Origin_right_front_suspension,Axis_right_front_suspension,right_front_suspension,fixed,-0.21292,-0.11437,-0.037202,2.834,0,0,base_link,0,0,0,0,0,0,0,,,,,,,,
right_front_wheel,0.014171,0,-1.3878E-17,0,0,0,0.23877,0.00029907,-3.9522E-37,6.92E-37,0.00016737,-8.4703E-22,0.00016737,0,0,0,0,0,0,package://4wheel_ball/meshes/right_front_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://4wheel_ball/meshes/right_front_wheel.STL,,wheel-1,Origin_right_front_wheel,Axis_right_front_wheel,right_front_wheel,continuous,0,0.00097405,-0.03369,-1.3077,0,0,right_front_suspension,1,0,0,3.1,7,,,,,,,,,,
left_front_suspension,0.066688,0.0036428,-0.064837,0,0,0,0.26437,3.2075E-05,-1.4412E-07,-6.3085E-08,6.227E-05,-2.0189E-07,6.2852E-05,0,0,0,0,0,0,package://4wheel_ball/meshes/left_front_suspension.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://4wheel_ball/meshes/left_front_suspension.STL,,Suspensionsystem-1,Origin_left_front_suspension,Axis_left_front_suspension,left_front_suspension,fixed,0.20716,-0.075688,-0.037202,2.834,0,3.1416,base_link,0,0,0,0,0,0,0,,,,,,,,
left_front_wheel,-0.008411,-1.3878E-17,0,0,0,0,0.23877,0.00029907,3.5444E-22,-1.8433E-21,0.00016737,6.7763E-21,0.00016737,0,0,0,0,0,0,package://4wheel_ball/meshes/left_front_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://4wheel_ball/meshes/left_front_wheel.STL,,wheel-2,Origin_left_front_wheel,Axis_left_front_wheel,left_front_wheel,continuous,0,-0.018219,-0.039786,-0.026787,0,3.1416,left_front_suspension,1,0,0,3.1,7,,,,,,,,,,
right_back_suspension,-0.0067868,0.01067,0.059195,0,0,0,0.11411,7.8941E-05,5.5541E-22,1.1472E-06,5.1512E-05,5.8796E-21,7.839E-05,0,0,0,0,0,0,package://4wheel_ball/meshes/right_back_suspension.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://4wheel_ball/meshes/right_back_suspension.STL,,back_ball-1,Origin_right_back_suspension,Axis_right_back_suspension,right_back_suspension,fixed,-0.23339,0.12116,0,-1.5708,0,-2.2503,base_link,0,0,0,0,0,0,0,,,,,,,,
left_back_suspension,-0.0067868,0.01067,0.059195,0,0,0,0.11411,7.8941E-05,1.7655E-21,1.1472E-06,5.1512E-05,3.4904E-21,7.839E-05,0,0,0,0,0,0,package://4wheel_ball/meshes/left_back_suspension.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://4wheel_ball/meshes/left_back_suspension.STL,,back_ball-2,Origin_left_back_suspension,Axis_left_back_suspension,left_back_suspension,fixed,0.23339,0.055845,0,-1.5708,0,0.89134,base_link,0,0,0,0,0,0,0,,,,,,,,
cam1,0.049836,0.061784,0.068723,0,0,0,0.043612,4.2948E-06,-8.8548E-10,-1.0183E-09,2.2106E-05,2.1758E-08,2.3571E-05,0,0,0,0,0,0,package://4wheel_ball/meshes/cam1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://4wheel_ball/meshes/cam1.STL,,Webcam_C920-1,Origin_cam1,,cam1,fixed,-0.049835,-0.022219,0.13322,2.3562,0,0,base_link,0,0,0,,,,,,,,,,,,
cam2,0.049836,0.061784,0.068723,0,0,0,0.043612,4.2948E-06,-8.8579E-10,-1.0181E-09,2.2106E-05,2.1758E-08,2.3571E-05,0,0,0,0,0,0,package://4wheel_ball/meshes/cam2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://4wheel_ball/meshes/cam2.STL,,Webcam_C920-2,Origin_cam2,,cam2,fixed,-0.049839,-0.046422,0.10251,1.5708,0,0,base_link,0,0,0,0,0,0,0,,,,,,,,
lidar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://4wheel_ball/meshes/lidar.STL,1,1,1,1,0,0,0,0,0,0,package://4wheel_ball/meshes/lidar.STL,,RPLidar-1,Origin_lidar,,lidar,fixed,0.13292,-0.027939,-0.53869,-1.5708,0,-1.5708,base_link,0,0,0,0,0,0,0,,,,,,,,
